Firefighter Count,Fires Started,Visibility,FF Health Average,FF Health Variance,FF Living Average,FF Living Variance,Fuel Start Average,Fuel Start Variance,Fuel Left Average,Fuel Left Variance,Fuel Left Percentage
0,1,1,0,0,0,0,496111.7188,22281.29347,196778.0969,1255546.847,39.66%
10,1,1,15.71515152,1255546.851,10,1255546.847,494184.4375,1255657.612,437072.2528,1468497.237,88.44%
10,1,15,10.47878788,1468497.238,10,1468497.237,494642.25,1468582.014,492643.5684,1468975.711,99.60%
10,1,50,10.29090909,1468975.712,10,1468975.711,494476.6563,1469096.691,493965.9209,1469245.398,99.90%
50,1,1,9.984848485,1469245.399,50,1469245.398,494687.125,1469345.499,491873.6219,1469808.423,99.43%
50,1,15,9.735151515,1469808.424,50,1469808.423,494307.4688,1469909.364,494211.3744,1470011.544,99.98%
50,1,50,9.735151515,1470011.545,50,1470011.544,495637.3438,1470112.668,495572.1369,1470217.388,99.99%
100,1,1,9.766363636,1470217.389,100,1470217.388,494117.5938,1470333.625,493334.4588,1470484.185,99.84%
100,1,15,9.707878788,1470484.186,100,1470484.185,495252.6563,1470557.418,495229.015,1470630.553,100.00%
100,1,50,9.710606061,1470630.554,100,1470630.553,495566.4375,1470740.293,495545.4497,1470849.607,100.00%
500,1,1,9.701333333,1470849.608,500,1470849.607,494882.8125,1470940.064,494777.2591,1471037.749,99.98%
500,1,15,9.699030303,1471037.75,500,1471037.749,494155.75,1471114.822,494149.6641,1471191.91,100.00%
500,1,50,9.698727273,1471191.911,500,1471191.91,494203.5938,1471260.031,494198.8775,1471328.301,100.00%
0,5,1,0,1471328.301,0,1471328.301,494713.875,1471400.4,78537.83719,1473027.506,15.88%
10,5,1,29.12727273,1473027.517,10,1473027.506,494343.625,1473099.002,153381.0119,1516523.849,31.03%
10,5,15,22.03636364,1516523.855,10,1516523.849,494773.8125,1516618.655,447825.8159,1549793.264,90.51%
10,5,50,20.14848485,1549793.269,10,1549793.264,494680.6563,1549885.483,472290.6331,1583424.29,95.47%
50,5,1,12.13515152,1583424.291,50,1583424.29,494406.4688,1583527.245,423874.4038,1664571.324,85.73%
50,5,15,9.901818182,1664571.325,50,1664571.324,494550.9063,1664638.884,493968.5088,1664704.48,99.88%
50,5,50,9.928484848,1664704.481,50,1664704.48,494449.5938,1664825.785,493965.0016,1664949.388,99.90%
100,5,1,10.27363636,1664949.389,100,1664949.388,494945.9375,1665024.04,474666.5697,1676767.922,95.90%
100,5,15,9.759090909,1676767.923,100,1676767.922,494920.7188,1676861.911,494720.625,1676955.552,99.96%
100,5,50,9.775151515,1676955.553,100,1676955.552,494138.125,1677034.499,493934.8597,1677113.469,99.96%
500,5,1,9.720121212,1677113.47,500,1677113.469,495425,1677189.27,494988.3125,1677259.963,99.91%
500,5,15,9.707090909,1677259.964,500,1677259.963,493900.3438,1677319.478,493870.2178,1677378.857,99.99%
500,5,50,9.707333333,1677378.858,500,1677378.857,494083.4375,1677486.605,494048.9959,1677594.415,99.99%
0,10,1,0,1677594.415,0,1677594.415,494518.7188,1677674.143,75905.0275,1680489.124,15.35%
10,10,1,10.22121212,1680489.125,10,1680489.124,494589.1563,1680573.625,494231.9678,1680678.563,99.93%
10,10,15,33.52121212,1680678.575,10,1680678.563,495634.8125,1680792.788,406589.7997,1769379.614,82.03%
10,10,50,37.92727273,1769379.63,10,1769379.614,495338.1875,1769480.389,403932.1806,1891598.561,81.55%
50,10,1,14.56242424,1891598.563,50,1891598.561,494597.5,1891646.442,327622.0153,1951482.405,66.24%
50,10,15,10.26181818,1951482.406,50,1951482.405,495717.6875,1951596.275,493114.7341,1951825.142,99.47%
50,10,50,10.20545455,1951825.143,50,1951825.142,494921.5313,1951887.535,493315.2463,1951972.86,99.68%
100,10,1,11.38727273,1951972.861,100,1951972.86,494953.25,1952042.737,406388.5125,1990012.124,82.11%
100,10,15,9.83969697,1990012.124,100,1990012.124,494232.375,1990064.377,493766.6444,1990124.097,99.91%
100,10,50,9.852727273,1990124.098,100,1990124.097,494805.0625,1990177.509,494359.8009,1990229.919,99.91%
500,10,1,9.739393939,1990229.92,500,1990229.919,495524.75,1990313.23,494665.7866,1990398.485,99.83%
500,10,15,9.717030303,1990398.485,500,1990398.485,494577.0938,1990464.303,494507.3738,1990529.785,99.99%
500,10,50,9.717515152,1990529.786,500,1990529.785,494221.6875,1990596.209,494153.8147,1990662.667,99.99%
0,500,1,0,1990662.667,0,1990662.667,494932.0313,1990753.725,55272.28062,1991279.907,11.17%
