Timestamp: Dec 16, 2007 4:42:27 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 1.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 10.0
NumberOfFires: 10.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,2813.0,1,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
2,7935.0,1197844966453,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
3,2756.0,1197845015812,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
4,3312.0,1197845031531,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
5,3400.0,1197845050125,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
6,2932.0,1197845068843,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
7,2457.0,1197845085031,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
8,3015.0,1197845098875,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
9,4392.0,1197845116421,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
10,3282.0,1197845140750,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
11,3378.0,1197845159656,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
12,2993.0,1197845178984,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
13,4227.0,1197845195593,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
14,5166.0,1197845218656,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
15,3827.0,1197845246906,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
16,3006.0,1197845268359,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
17,4732.0,1197845285281,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
18,2930.0,1197845312281,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
19,3246.0,1197845328687,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
20,6336.0,1197845347625,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
21,5146.0,1197845383890,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
22,2323.0,1197845413046,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
23,2757.0,1197845426109,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
24,3988.0,1197845441734,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
25,3438.0,1197845463890,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
26,3589.0,1197845483515,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
27,3081.0,1197845503750,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
28,2948.0,1197845521468,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
29,3163.0,1197845538906,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
30,3128.0,1197845557843,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
31,4886.0,1197845576734,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
32,3173.0,1197845604437,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0

End Time: Dec 16, 2007 4:53:42 PM
