Timestamp: Dec 17, 2007 3:32:03 AM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 1.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 500.0
NumberOfFires: 1.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,63.0,1,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
2,43.0,1197862330930,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
3,2.0,1197862336147,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
4,1.0,1197862337032,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
5,34.0,1197862338237,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
6,148.0,1197862342093,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
7,88.0,1197862355188,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
8,7.0,1197862363453,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
9,68.0,1197862364913,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
10,75.0,1197862371293,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
11,108.0,1197862378271,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
12,53.0,1197862387692,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
13,24.0,1197862392956,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
14,11.0,1197862396063,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
15,88.0,1197862398079,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
16,72.0,1197862406053,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
17,67.0,1197862412968,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
18,46.0,1197862419112,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
19,69.0,1197862423647,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
20,64.0,1197862430151,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
21,1.0,1197862436285,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
22,34.0,1197862437391,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
23,7.0,1197862441086,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
24,2.0,1197862442774,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
25,21.0,1197862444140,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
26,12.0,1197862446833,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
27,2.0,1197862448633,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
28,60.0,1197862449983,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
29,43.0,1197862455627,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
30,15.0,1197862459985,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
31,1.0,1197862462318,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
32,84.0,1197862463266,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0

End Time: Dec 17, 2007 3:34:31 AM
